"Year","University","Unit","Code","Degree","Cutoff","DegreeOnly"
2022,"Cádiz","Facultad de Ciencias de la Educación",2501751,"Grado en Educación Primaria (Facultad de Ciencias de la Educación)",9.409,"Grado en Educación Primaria"
2022,"Cádiz","Facultad de Ciencias de la Educación",2501752,"Grado en Educación Infantil (Facultad de Ciencias de la Educación)",8.58,"Grado en Educación Infantil"
2022,"Cádiz","Facultad de Ciencias de la Educación",2502557,"Grado en Ciencias de la Actividad Física y del Deporte (Facultad de Ciencias de la Educación)",11.181,"Grado en Ciencias de la Actividad Física y del Deporte"
2022,"Cádiz","Facultad de Ciencias Sociales y de la Comunicación",2501750,"Grado en Gestión y Administración Pública (Facultad de Ciencias Sociales y de la Comunicación)",5,"Grado en Gestión y Administración Pública"
2022,"Cádiz","Facultad de Ciencias Sociales y de la Comunicación",2501753,"Grado en Marketing e Investigación de Mercados (Facultad de Ciencias Sociales y de la Comunicación)",5,"Grado en Marketing e Investigación de Mercados"
2022,"Cádiz","Facultad de Ciencias Sociales y de la Comunicación",2501754,"Grado en Publicidad y Relaciones Públicas (Facultad de Ciencias Sociales y de la Comunicación)",7.5,"Grado en Publicidad y Relaciones Públicas"
2022,"Cádiz","Facultad de Ciencias Sociales y de la Comunicación",2501756,"Grado en Turismo (Facultad de Ciencias Sociales y de la Comunicación)",5,"Grado en Turismo"
2022,"Cádiz","Facultad de Ciencias Sociales y de la Comunicación",7000296,"Doble grado en Publicidad y Relaciones Públicas y Turismo (Facultad de Ciencias Sociales y de la Comunicación)",6.62,"Doble grado en Publicidad y Relaciones Públicas y Turismo"
2022,"Cádiz","Facultad de Ciencias Sociales y de la Comunicación",7000301,"Doble grado en Marketing e Investigación de Mercados y Turismo (Facultad de Ciencias Sociales y de la Comunicación)",5,"Doble grado en Marketing e Investigación de Mercados y Turismo"
2022,"Cádiz","Facultad de Ciencias Sociales y de la Comunicación",7000302,"Doble grado en Publicidad y Relaciones Públicas y Marketing e Investigación de Mercados (Facultad de Ciencias Sociales y de la Comunicación)",11.803,"Doble grado en Publicidad y Relaciones Públicas y Marketing e Investigación de Mercados"
2022,"Cádiz","Centro de Magisterio Virgen de Europa",2501751,"Grado en Educación Primaria (Centro de Magisterio Virgen de Europa)",5,"Grado en Educación Primaria"
2022,"Cádiz","Centro de Magisterio Virgen de Europa",2501752,"Grado en Educación Infantil (Centro de Magisterio Virgen de Europa)",5,"Grado en Educación Infantil"
2022,"Cádiz","Facultad de Derecho",2501748,"Grado en Criminología y Seguridad (Facultad de Derecho)",10.313,"Grado en Criminología y Seguridad"
2022,"Cádiz","Facultad de Derecho",2501749,"Grado en Derecho (Facultad de Derecho)",6.995,"Grado en Derecho"
2022,"Cádiz","Facultad de Derecho",7000530,"Doble grado en Administración y Dirección de Empresas y Derecho (Facultad de Derecho)",5.42,"Doble grado en Administración y Dirección de Empresas y Derecho"
2022,"Cádiz","Facultad de Derecho",7000682,"Doble grado en Derecho y Criminología y Seguridad (Facultad de Derecho)",11.199,"Doble grado en Derecho y Criminología y Seguridad"
2022,"Cádiz","Facultad de Ciencias del Trabajo",2501340,"Grado en Relaciones Laborales y Recursos Humanos (Facultad de Ciencias del Trabajo)",5,"Grado en Relaciones Laborales y Recursos Humanos"
2022,"Cádiz","Facultad de Ciencias Económicas y Empresariales. Sede en Jerez",2501338,"Grado en Administración y Dirección de Empresas (Facultad de Ciencias Económicas y Empresariales. Sede en Jerez)",5,"Grado en Administración y Dirección de Empresas"
2022,"Cádiz","Facultad de Ciencias Económicas y Empresariales. Sede en Algeciras",2501338,"Grado en Administración y Dirección de Empresas (Facultad de Ciencias Económicas y Empresariales. Sede en Algeciras)",5,"Grado en Administración y Dirección de Empresas"
2022,"Cádiz","Facultad de Ciencias del Trabajo. Sede de Algeciras",2501340,"Grado en Relaciones Laborales y Recursos Humanos (Facultad de Ciencias del Trabajo. Sede de Algeciras)",5,"Grado en Relaciones Laborales y Recursos Humanos"
2022,"Cádiz","Facultad de Ciencias del Trabajo. Sede de Jerez",2501755,"Grado en Trabajo Social (Facultad de Ciencias del Trabajo. Sede de Jerez)",7.702,"Grado en Trabajo Social"
2022,"Cádiz","Facultad de Derecho. Sede de Algeciras",2501749,"Grado en Derecho (Facultad de Derecho. Sede de Algeciras)",5,"Grado en Derecho"
2022,"Cádiz","Facultad de Derecho. Sede de Algeciras",7000980,"Doble grado en Relaciones Laborales y Recursos Humanos y Derecho (Facultad de Derecho. Sede de Algeciras)",5,"Doble grado en Relaciones Laborales y Recursos Humanos y Derecho"
2022,"Cádiz","Escuela Técnica Superior de Ingeniería  de Algeciras",2501757,"Grado en Ingeniería Civil (Escuela Técnica Superior de Ingeniería  de Algeciras)",5,"Grado en Ingeniería Civil"
2022,"Cádiz","Escuela Técnica Superior de Ingeniería  de Algeciras",2503077,"Grado en Ingeniería Mecánica (Escuela Técnica Superior de Ingeniería  de Algeciras)",5,"Grado en Ingeniería Mecánica"
2022,"Cádiz","Escuela Técnica Superior de Ingeniería  de Algeciras",2503081,"Grado en Ingeniería Electrónica Industrial (Escuela Técnica Superior de Ingeniería  de Algeciras)",5,"Grado en Ingeniería Electrónica Industrial"
2022,"Cádiz","Escuela Técnica Superior de Ingeniería  de Algeciras",2503085,"Grado en Ingeniería Eléctrica (Escuela Técnica Superior de Ingeniería  de Algeciras)",5,"Grado en Ingeniería Eléctrica"
2022,"Cádiz","Escuela Técnica Superior de Ingeniería  de Algeciras",2503173,"Grado en Ingeniería en Tecnologías Industriales (Escuela Técnica Superior de Ingeniería  de Algeciras)",5,"Grado en Ingeniería en Tecnologías Industriales"
2022,"Cádiz","Escuela Superior de Ingeniería",2501759,"Grado en Ingeniería Informática (Escuela Superior de Ingeniería)",8.976,"Grado en Ingeniería Informática"
2022,"Cádiz","Escuela Superior de Ingeniería",2502553,"Grado en Ingeniería Aeroespacial (Escuela Superior de Ingeniería)",11.571,"Grado en Ingeniería Aeroespacial"
2022,"Cádiz","Escuela Superior de Ingeniería",2502561,"Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto (Escuela Superior de Ingeniería)",8.274,"Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto"
2022,"Cádiz","Escuela Superior de Ingeniería",2503077,"Grado en Ingeniería Mecánica (Escuela Superior de Ingeniería)",6.92,"Grado en Ingeniería Mecánica"
2022,"Cádiz","Escuela Superior de Ingeniería",2503081,"Grado en Ingeniería Electrónica Industrial (Escuela Superior de Ingeniería)",5,"Grado en Ingeniería Electrónica Industrial"
2022,"Cádiz","Escuela Superior de Ingeniería",2503085,"Grado en Ingeniería Eléctrica (Escuela Superior de Ingeniería)",5,"Grado en Ingeniería Eléctrica"
2022,"Cádiz","Escuela Superior de Ingeniería",2503173,"Grado en Ingeniería en Tecnologías Industriales (Escuela Superior de Ingeniería)",5,"Grado en Ingeniería en Tecnologías Industriales"
2022,"Cádiz","Escuela Superior de Ingeniería",7000683,"Doble grado en Ingeniería Eléctrica e Ingeniería Electrónica Industrial (Escuela Superior de Ingeniería)",5,"Doble grado en Ingeniería Eléctrica e Ingeniería Electrónica Industrial"
2022,"Cádiz","Escuela Superior de Ingeniería",7000684,"Doble grado en Ingeniería Mecánica e Ingeniería Eléctrica (Escuela Superior de Ingeniería)",10.508,"Doble grado en Ingeniería Mecánica e Ingeniería Eléctrica"
2022,"Cádiz","Escuela Superior de Ingeniería",7000685,"Doble grado en Ingeniería Mecánica e Ingeniería en Diseño Industrial y Desarrollo del Producto (Escuela Superior de Ingeniería)",11.987,"Doble grado en Ingeniería Mecánica e Ingeniería en Diseño Industrial y Desarrollo del Producto"
2022,"Cádiz","Escuela de Ingeniería Naval y Oceánica",2501760,"Grado en Arquitectura Naval e Ingeniería Marítima (Escuela de Ingeniería Naval y Oceánica)",5,"Grado en Arquitectura Naval e Ingeniería Marítima"
2022,"Cádiz","Facultad de Ciencias",2501761,"Grado en Ingeniería Química (Facultad de Ciencias)",5,"Grado en Ingeniería Química"
2022,"Cádiz","Facultad de Ciencias",7000891,"Doble grado en Ingeniería químicay Biotecnología (Facultad de Ciencias)",12.142,"Doble grado en Ingeniería químicay Biotecnología"
2022,"Cádiz","Escuela de Ingenierías Marina, Náutica y Radioelectrónica",2501762,"Grado en Marina (Escuela de Ingenierías Marina, Náutica y Radioelectrónica)",5,"Grado en Marina"
2022,"Cádiz","Escuela de Ingenierías Marina, Náutica y Radioelectrónica",2501763,"Grado en Náutica y Transporte Marítimo (Escuela de Ingenierías Marina, Náutica y Radioelectrónica)",6.46,"Grado en Náutica y Transporte Marítimo"
2022,"Cádiz","Escuela de Ingenierías Marina, Náutica y Radioelectrónica",2501764,"Grado en Ingeniería Radioelectrónica (Escuela de Ingenierías Marina, Náutica y Radioelectrónica)",5,"Grado en Ingeniería Radioelectrónica"
2022,"Cádiz","Facultad de Filosofía y Letras",2501740,"Grado en Estudios Árabes e Islámicos (Facultad de Filosofía y Letras)",5,"Grado en Estudios Árabes e Islámicos"
2022,"Cádiz","Facultad de Filosofía y Letras",2501741,"Grado en Estudios Franceses (Facultad de Filosofía y Letras)",5,"Grado en Estudios Franceses"
2022,"Cádiz","Facultad de Filosofía y Letras",2501742,"Grado en Estudios Ingleses (Facultad de Filosofía y Letras)",5.875,"Grado en Estudios Ingleses"
2022,"Cádiz","Facultad de Filosofía y Letras",2501743,"Grado en Filología Clásica (Facultad de Filosofía y Letras)",5,"Grado en Filología Clásica"
2022,"Cádiz","Facultad de Filosofía y Letras",2501744,"Grado en Filología Hispánica (Facultad de Filosofía y Letras)",5,"Grado en Filología Hispánica"
2022,"Cádiz","Facultad de Filosofía y Letras",2501745,"Grado en Historia (Facultad de Filosofía y Letras)",5,"Grado en Historia"
2022,"Cádiz","Facultad de Filosofía y Letras",2501746,"Grado en Humanidades (Facultad de Filosofía y Letras)",5,"Grado en Humanidades"
2022,"Cádiz","Facultad de Filosofía y Letras",2501747,"Grado en Lingüística y Lenguas Aplicadas (Facultad de Filosofía y Letras)",5,"Grado en Lingüística y Lenguas Aplicadas"
2022,"Cádiz","Facultad de Filosofía y Letras",7000297,"Doble grado en Estudios Franceses y Estudios Ingleses (Facultad de Filosofía y Letras)",11.575,"Doble grado en Estudios Franceses y Estudios Ingleses"
2022,"Cádiz","Facultad de Filosofía y Letras",7000298,"Doble grado en Estudios Ingleses y Filología Clásica (Facultad de Filosofía y Letras)",5,"Doble grado en Estudios Ingleses y Filología Clásica"
2022,"Cádiz","Facultad de Filosofía y Letras",7000299,"Doble grado en Filología Hispánica y Estudios Ingleses (Facultad de Filosofía y Letras)",11.916,"Doble grado en Filología Hispánica y Estudios Ingleses"
2022,"Cádiz","Facultad de Filosofía y Letras",7000300,"Doble grado en Lingüística Aplicada y Estudios Ingleses (Facultad de Filosofía y Letras)",10.963,"Doble grado en Lingüística Aplicada y Estudios Ingleses"
2022,"Cádiz","Facultad de Filosofía y Letras",7000339,"Doble grado en Estudios Árabes e Islámicos  y Estudios Ingleses (Facultad de Filosofía y Letras)",5,"Doble grado en Estudios Árabes e Islámicos  y Estudios Ingleses"
2022,"Cádiz","Facultad de Ciencias de la Educación",2502563,"Grado en Psicología (Facultad de Ciencias de la Educación)",11.07,"Grado en Psicología"
2022,"Cádiz","Facultad de Enfermería y Fisioterapia",2501335,"Grado en Enfermería (Facultad de Enfermería y Fisioterapia)",11.977,"Grado en Enfermería"
2022,"Cádiz","Facultad de Enfermería y Fisioterapia",2501336,"Grado en Fisioterapia (Facultad de Enfermería y Fisioterapia)",11.868,"Grado en Fisioterapia"
2022,"Cádiz","Facultad de Medicina",2501337,"Grado en Medicina (Facultad de Medicina)",13.232,"Grado en Medicina"
2022,"Cádiz","Centro de Enfermería Salus Infirmorum",2501335,"Grado en Enfermería (Centro de Enfermería Salus Infirmorum)",11.18,"Grado en Enfermería"
